Review,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
R_w2v_train_1,-0.016875692,0.09625457,-0.025694404,0.13207081,0.10018875,-0.38322288,0.21112944,0.50541437,-0.1680384,-0.06904846,-0.085228465,-0.18558733,-0.071636155,0.106496714,0.123362295,-0.14976855,0.16717046,-0.11221224,-0.09781308,-0.43087047,0.23442948,0.0316756,0.18563953,-0.074360795,-0.08222435,0.03021402,-0.07183157,0.0065469434,-0.16364738,0.03637441,0.19065325,-0.092549734,0.15685375,-0.26048732,-0.054703977,0.33147907,0.09909403,-0.064338915,-0.14871885,-0.2523524,-0.034517158,-0.2027031,-0.16905415,0.04167307,0.21091257,-0.024013836,-0.13614754,-0.040322695,0.18167163,0.14188671,0.12218969,-0.08681146,-0.05076166,-0.080231994,-0.049238324,0.04984591,0.19620726,-0.037855893,-0.110045955,0.10391267,0.03259087,-0.005166422,0.19301814,-0.00943612,-0.18228547,0.33352655,0.12244547,0.355718,-0.25358284,0.21408448,-0.093525015,0.13336408,0.18957743,0.11222995,0.18282875,0.06421931,0.035784148,0.117309414,-0.17612872,-0.08493848,-0.23358975,-0.031300247,-0.21902753,0.235028,-0.047405854,-0.03851957,0.17961246,0.17873384,0.2263702,0.009919308,0.3109774,0.21966125,0.07066399,0.012767495,0.46808803,0.22863682,0.15798482,-0.20112592,0.025549022,-0.08201029
R_w2v_train_2,-0.031687494,0.12845556,-0.006838158,0.09422699,0.051267818,-0.29480296,0.1477034,0.416111,-0.13967808,-0.055444006,-0.08804479,-0.16234273,-0.07495058,0.057191957,0.0875307,-0.13930997,0.120017074,-0.14395863,-0.0671111,-0.34005168,0.16861112,0.05646055,0.12339317,-0.050784875,-0.088748164,0.052401464,-0.09969535,-0.06676139,-0.13946053,0.020786231,0.16460432,-0.034421153,0.12890308,-0.18717378,-0.080995314,0.2417144,0.0329036,-0.07285743,-0.14441825,-0.2653643,-0.0627218,-0.17110413,-0.08818964,0.08258288,0.18902878,-0.019386316,-0.15838255,-0.014093845,0.12827934,0.13735633,0.100994766,-0.03691933,-0.058431547,-0.0849123,-0.059745725,0.04902336,0.15980993,-0.039075088,-0.15168236,0.07120527,0.02664885,0.053425327,0.0891321,-0.0093975505,-0.15294059,0.22051023,0.067897454,0.2616751,-0.18931377,0.14623855,-0.1024687,0.10007233,0.15522994,0.029627329,0.17018855,0.09727637,0.006123346,0.09492761,-0.13126288,-0.08464379,-0.10503081,-0.031404845,-0.14919494,0.19758105,-0.008647991,0.048564833,0.100108646,0.18171917,0.19403891,-0.0090755625,0.29467216,0.17237793,0.053960953,0.024293745,0.40141413,0.17553394,0.14830758,-0.19949067,0.052850813,-0.07136882
R_w2v_train_3,-0.03496399,0.14149016,-0.0061089373,0.10082855,0.070694596,-0.3397773,0.18657847,0.48197696,-0.16292785,-0.060562886,-0.09569518,-0.18284425,-0.06761561,0.07543182,0.09582182,-0.16746072,0.13990504,-0.14815006,-0.07621542,-0.40552083,0.2030149,0.05034651,0.14423542,-0.061451092,-0.106112346,0.03201314,-0.09733718,-0.039995376,-0.15064277,0.033548765,0.18247488,-0.05587254,0.14245243,-0.22407323,-0.06774906,0.29149064,0.061875116,-0.082951084,-0.16579658,-0.28609297,-0.060602404,-0.20183298,-0.111027025,0.08567345,0.21197629,-0.03224927,-0.14928709,-0.02477088,0.14535083,0.15150516,0.12357408,-0.04255718,-0.048227668,-0.08600217,-0.064037316,0.05539134,0.18183108,-0.044513714,-0.14490251,0.08712011,0.04036267,0.034989562,0.12825173,-0.007212846,-0.17327206,0.26379552,0.08544134,0.31049865,-0.22868414,0.17543396,-0.10205144,0.118613034,0.1783506,0.073656864,0.18461174,0.10914275,0.021778906,0.115069106,-0.15911032,-0.073988214,-0.16212365,-0.023290029,-0.1903648,0.21387318,-0.024878003,0.026115464,0.12841427,0.20647937,0.23311777,0.007711561,0.32009804,0.20379545,0.053569358,0.01911227,0.45718846,0.20222166,0.16126168,-0.21377754,0.05633211,-0.08860075
R_w2v_train_4,-0.042613886,0.14075135,0.003466559,0.09032675,0.059864596,-0.29179826,0.15950045,0.428585,-0.13712443,-0.053195234,-0.08519837,-0.1715541,-0.062334698,0.054852046,0.07182634,-0.14896207,0.12425531,-0.1480765,-0.07536303,-0.3404802,0.16942127,0.06026564,0.13719305,-0.041198425,-0.1025428,0.042449977,-0.08843502,-0.04502893,-0.13674662,0.02215059,0.15375532,-0.043212608,0.12187721,-0.19774224,-0.06973375,0.24622883,0.058523025,-0.08432861,-0.14959516,-0.2568776,-0.06817324,-0.16506712,-0.09832063,0.07820332,0.19398086,-0.01932326,-0.1490239,-0.010803633,0.13416003,0.13868798,0.09921384,-0.037662342,-0.05173173,-0.088469215,-0.06862419,0.046413776,0.16673923,-0.03739604,-0.1345728,0.07173173,0.030435177,0.036180925,0.10437243,0.00090714346,-0.14982519,0.21899858,0.054047253,0.28171134,-0.20650719,0.15053053,-0.08836804,0.107331246,0.15676667,0.04925976,0.15569407,0.10151435,0.009602582,0.09664584,-0.14298858,-0.074167185,-0.13235955,-0.01646817,-0.16183327,0.19305491,-0.0254184,0.031293016,0.11458595,0.19145267,0.20331433,0.0037680177,0.2823314,0.17737553,0.04507613,0.022272255,0.41276044,0.1836248,0.1515924,-0.19487289,0.052347597,-0.08260404
R_w2v_train_5,-0.03732947,0.13696525,-0.007829766,0.09459354,0.070110425,-0.33290696,0.17281759,0.47262138,-0.15084259,-0.0715159,-0.095748305,-0.19535336,-0.062048428,0.057684947,0.08784052,-0.16792957,0.14443973,-0.16308954,-0.08247781,-0.3866524,0.19257325,0.06303519,0.15780969,-0.056839712,-0.112529494,0.06104455,-0.08570838,-0.05384751,-0.15047094,0.027184924,0.1841354,-0.04048348,0.13521819,-0.21848376,-0.08890238,0.27549693,0.06177448,-0.10013628,-0.16373423,-0.2905202,-0.065694764,-0.18696962,-0.092432335,0.07936273,0.22161476,-0.01897501,-0.16511102,-0.020695273,0.15047142,0.15032613,0.11508367,-0.048790574,-0.062263884,-0.112678684,-0.07049352,0.04827804,0.18430892,-0.032798484,-0.15358014,0.07733214,0.045247827,0.0465605,0.13493827,-0.00095275725,-0.16467917,0.26231343,0.05982703,0.3111324,-0.23538907,0.16496642,-0.10104338,0.119853154,0.17256995,0.06268561,0.17969261,0.112562075,0.019522682,0.10408078,-0.15501301,-0.08518115,-0.14659101,-0.015102653,-0.19007581,0.22805567,-0.015254641,0.030447746,0.13622855,0.22174294,0.21844456,0.006508437,0.3217734,0.19930695,0.0507391,0.03433896,0.4607984,0.21261331,0.17658979,-0.23052284,0.060657084,-0.103787586
R_w2v_train_6,-0.035994735,0.08995998,-0.041523777,0.09839344,0.07657958,-0.35840875,0.16631275,0.46636105,-0.14045982,-0.053059466,-0.090609744,-0.18351659,-0.06676808,0.08190994,0.14005864,-0.17185979,0.1334065,-0.15008447,-0.07049595,-0.40477997,0.22885118,0.058580972,0.16102427,-0.06156943,-0.085514195,0.046158288,-0.07374847,-0.041417003,-0.14158145,0.01549358,0.2040379,-0.05161017,0.14838919,-0.1979171,-0.09729372,0.26859388,0.043554097,-0.117269725,-0.17528537,-0.3035268,-0.047305938,-0.16910785,-0.089154884,0.0645206,0.21525365,-0.01151486,-0.16592206,-0.020472743,0.15100116,0.13893896,0.12544274,-0.06661982,-0.07651257,-0.11478393,-0.028717883,0.051029168,0.17867139,-0.031336978,-0.14342178,0.06636243,0.019412123,0.057644673,0.14782706,-0.016025368,-0.19575912,0.29334864,0.083221495,0.318636,-0.2464998,0.17896706,-0.10648085,0.12888527,0.19523424,0.05814848,0.19156365,0.08606428,0.022726744,0.102631845,-0.18476757,-0.10232636,-0.15976173,-0.022740819,-0.17776279,0.27189234,0.017227594,0.053700637,0.12223953,0.21613449,0.20301124,0.00052856,0.34736794,0.2113498,0.05580011,0.03846136,0.46846834,0.2435606,0.1739631,-0.22230542,0.06407793,-0.084381305
R_w2v_train_7,-0.03909833,0.119586825,-0.019674394,0.11246282,0.070791185,-0.34691536,0.20007494,0.48820072,-0.16579953,-0.07219241,-0.097797476,-0.18915437,-0.058740854,0.07571392,0.100653335,-0.17031796,0.1476363,-0.15506057,-0.10131375,-0.41443342,0.20589814,0.04639408,0.16885503,-0.050381087,-0.106392935,0.039324753,-0.06671687,-0.03334247,-0.15046151,0.027362864,0.18016012,-0.06519985,0.14918825,-0.23916645,-0.06546911,0.2931215,0.07450724,-0.10771786,-0.16096742,-0.28458142,-0.06009959,-0.1801679,-0.11517714,0.06825213,0.2220536,-0.02008596,-0.1635805,-0.017824009,0.1587073,0.14315413,0.110937834,-0.064476214,-0.05766756,-0.1041531,-0.07195906,0.038278364,0.17304891,-0.037699338,-0.14385176,0.08611087,0.050157655,0.028419718,0.16322933,-0.0013752943,-0.16653816,0.28193063,0.07640318,0.34838766,-0.2614352,0.1812351,-0.08726452,0.14685053,0.17592746,0.07056032,0.18164082,0.10432996,0.032036513,0.10769297,-0.17872727,-0.080188975,-0.17158687,-0.027926032,-0.20160182,0.24072054,-0.03418812,0.0049582063,0.15148883,0.2126654,0.22351351,0.022133559,0.3176778,0.21383119,0.04802276,0.028203044,0.46986085,0.22873382,0.16577713,-0.22761361,0.06425844,-0.096334085
R_w2v_train_8,-0.03255657,0.12643257,-0.0048861913,0.093623,0.03195481,-0.23651229,0.14578766,0.3705656,-0.123601615,-0.057796426,-0.07827537,-0.16857792,-0.08138972,0.026757194,0.06719969,-0.122747555,0.105087474,-0.14915636,-0.07957249,-0.27821687,0.12323151,0.05624085,0.109084755,-0.040965565,-0.09580546,0.051046737,-0.114999205,-0.089243256,-0.12804523,0.005905593,0.1251698,-0.021166677,0.11444927,-0.170586,-0.07201585,0.20113519,0.013253933,-0.070006676,-0.118235864,-0.23923619,-0.063521184,-0.1602481,-0.04533494,0.09036088,0.16507497,0.0007242227,-0.16331573,-0.0030259914,0.10523393,0.14109805,0.09670454,-0.02751632,-0.041930504,-0.075082794,-0.07275928,0.039724182,0.13879016,-0.02020414,-0.16033933,0.06897588,0.036382917,0.058173504,0.067075446,-0.010447896,-0.13484278,0.15105088,0.038023397,0.2468951,-0.15175083,0.12605712,-0.09884688,0.082678735,0.1445916,-0.006812539,0.15026672,0.092953876,-0.004008984,0.08540134,-0.085157335,-0.0887876,-0.06878562,-0.025443286,-0.14149825,0.17453447,-0.012002444,0.06547712,0.07531033,0.17192598,0.17665792,-0.0028704763,0.269895,0.1448431,0.051055588,0.030144379,0.36433268,0.15469238,0.12523544,-0.17811279,0.04633675,-0.074305974
R_w2v_train_9,-0.035401545,0.12848811,-0.010099473,0.1094443,0.06848944,-0.35683978,0.17424823,0.48552558,-0.15764196,-0.057030495,-0.08956143,-0.18755876,-0.06564429,0.083222054,0.11033436,-0.16318913,0.14018396,-0.1498767,-0.07837836,-0.40809047,0.21992517,0.059793312,0.15040506,-0.05168887,-0.09982874,0.04320933,-0.09139934,-0.036435142,-0.15259725,0.026302146,0.1852204,-0.055979073,0.14545892,-0.22434191,-0.08031935,0.28838098,0.06170684,-0.101320334,-0.17004448,-0.2917649,-0.061947625,-0.18888664,-0.12071541,0.07599924,0.21592803,-0.02161728,-0.16649042,-0.016843649,0.15236656,0.14843543,0.11897758,-0.051101018,-0.063955046,-0.09545234,-0.05028765,0.050659776,0.18913089,-0.04473096,-0.14845297,0.08531237,0.024938071,0.042432163,0.1351795,-0.006207414,-0.17926979,0.28296933,0.07820617,0.3177918,-0.24568272,0.18119161,-0.10770611,0.12690659,0.1839279,0.06503371,0.18310641,0.10512906,0.016667597,0.10723019,-0.17181684,-0.09074675,-0.1591014,-0.025533115,-0.18483812,0.24062002,-0.022828417,0.03182457,0.13510217,0.20865075,0.22304864,8.4262965e-06,0.3317661,0.20480426,0.050188202,0.028299706,0.47018543,0.21857852,0.16034882,-0.22029626,0.05506826,-0.08306052
R_w2v_train_10,-0.037160154,0.117503025,-0.012165296,0.08733809,0.04912915,-0.29452324,0.15529029,0.41563153,-0.13798343,-0.061984163,-0.081489466,-0.16375826,-0.061864182,0.05881391,0.08638475,-0.14387082,0.11763182,-0.14113961,-0.077436835,-0.3432805,0.17206742,0.04658694,0.13636413,-0.04113437,-0.09340529,0.038142644,-0.07713169,-0.04960637,-0.13108984,0.017659409,0.15768272,-0.042810608,0.12620075,-0.19361399,-0.06756237,0.24307434,0.042183097,-0.09123153,-0.14529122,-0.25318903,-0.058212258,-0.15692471,-0.08246371,0.07141215,0.186027,-0.01318986,-0.15157183,-0.0077074105,0.12301643,0.13455226,0.09474602,-0.042826492,-0.051668115,-0.08485167,-0.055527665,0.033123214,0.1481274,-0.033267092,-0.14040226,0.070469424,0.031149628,0.043622214,0.1086294,-0.012307418,-0.14970067,0.21817814,0.06219873,0.275145,-0.20577593,0.14569266,-0.09053935,0.118825026,0.15407853,0.043175325,0.16136758,0.09876247,0.010881184,0.09192021,-0.14492767,-0.076757915,-0.11421612,-0.021781102,-0.1554221,0.20466356,-0.02334778,0.03730471,0.10666875,0.18584695,0.18474902,0.0067250584,0.29044035,0.1810209,0.038316507,0.02657769,0.4016112,0.18956918,0.14333713,-0.20150378,0.061422117,-0.07593971
